match_time,jc_order,league,home_team,away_team,score,bet365,hg,bet10,lb,ms,ac,snai,wl,ysb,wd,iw,bet12,lj,yh,bet18,jc,ybb,pb
20170207,周一017,法乙,瓦朗谢纳,勒阿弗尔,0-0,"2.800,2.870,2.800,0.900,0.0,0.950,0.720,2.0,1.150","2.470,2.950,2.780,0.830,0.00,1.050,0.830,2.00,1.030","2.400,3.050,3.100,0.890,0.00,1.020,0.850,2.00,1.010",,"2.600,2.940,2.810,0.890,0.00,1.030,0.890,2.00,1.010","2.350,2.880,2.900,0.800,0.00,1.020,0.900,2.50,0.800",,,"2.600,3.000,2.600,0.900,0.00,1.020,1.070,2.25,0.780","2.450,3.000,3.200,0.870,0.00,1.020,1.450,2.50,0.530",,"2.600,2.940,2.810,0.890,0.00,1.030,0.890,2.00,1.010","2.600,2.960,2.790,0.890,0.00,1.030,0.880,2.00,1.020","2.470,2.950,2.780,0.840,0.00,1.050,0.840,2.00,1.030","2.590,2.950,2.800,0.880,0.00,1.030,0.800,2.00,1.100",,,
20170205,,国际友谊,加拿大女足,墨西哥女足,3-2,"1.220,5.500,11.000,0.750,1.5,1.050,0.750,2.5,1.050","1.470,4.000,5.300,0.820,1.00,0.940,0.800,2.50,0.960","1.220,5.250,9.500,0.590,1.25,1.370,0.850,2.50,0.930",,"1.470,3.900,5.500,0.820,1.00,0.980,0.830,2.50,0.970",,,,"1.270,4.700,6.800,0.710,1.25,1.100,0.850,2.50,0.920","1.200,5.750,17.000,0.910,1.75,0.870,0.770,2.50,0.930",,"1.470,3.900,5.500,0.820,1.00,0.980,0.830,2.50,0.970","1.440,4.000,5.600,0.840,1.00,1.000,0.920,2.50,0.900","1.470,4.000,5.300,0.830,1.00,0.940,0.810,2.50,0.960","1.210,5.400,9.350,0.540,1.25,1.440,0.840,2.50,0.990",,,
20170207,周一016,西甲,格拉那达,拉斯帕尔马斯,1-0,"3.200,3.300,2.300,0.880,-0.25,1.050,0.980,2.5,0.950","2.840,3.300,2.360,0.800,-0.25,1.080,1.010,2.50,0.850","2.750,3.250,2.500,1.080,0.00,0.790,0.850,2.50,0.960","2.880,3.400,2.400,0.770,-0.25,1.040,0.850,2.50,0.950","2.790,3.150,2.350,0.830,-0.25,1.080,0.900,2.50,1.000","2.750,3.200,2.300,0.780,-0.25,1.080,0.950,2.50,0.850",,,"2.900,3.000,2.490,1.160,0.00,0.760,1.000,2.50,0.850","2.900,3.400,2.400,0.830,-0.25,1.100,0.850,2.50,1.000",,"2.790,3.150,2.350,0.830,-0.25,1.070,0.900,2.50,1.000","2.780,3.150,2.370,1.110,0.00,0.810,1.110,2.50,0.800","2.840,3.300,2.360,0.810,-0.25,1.080,1.020,2.50,0.850","2.820,3.150,2.330,1.140,0.00,0.760,0.880,2.50,1.000",,,
20170207,,球会友谊,奥尔堡,佐加顿斯,0-0,"2.370,3.500,2.600,0.780,0.0,1.020,0.980,2.25,0.820","2.100,3.350,2.900,0.870,0.25,1.010,1.080,2.75,0.780","2.100,3.850,2.800,0.900,0.25,0.950,0.990,2.75,0.840",,"2.130,3.300,3.050,0.860,0.25,1.040,1.090,2.75,0.800",,,,"2.140,3.200,2.900,0.890,0.25,0.940,1.000,2.75,0.820","2.050,3.300,3.000,0.870,0.25,0.940,0.730,2.50,1.000",,"2.130,3.300,3.050,0.860,0.25,1.040,1.080,2.75,0.800","2.210,3.250,2.950,0.930,0.25,0.970,1.020,2.75,0.860","2.220,3.350,2.710,0.990,0.25,0.900,1.090,2.75,0.780","2.320,2.960,3.050,1.030,0.25,0.880,0.940,2.25,0.940",,,
20170207,,英议南,亨格福德镇,特鲁罗城,5-0,"1.570,4.000,4.750,0.750,0.75,1.050,0.820,3.0,0.980","1.540,4.000,4.950,0.950,1.00,0.910,0.850,3.00,0.990","1.660,3.850,4.450,1.020,1.00,0.840,0.870,3.00,0.930",,"1.600,3.900,4.550,1.040,1.00,0.860,0.930,3.00,0.950",,,,"1.580,3.600,5.300,1.040,1.00,0.880,0.890,3.00,0.970","1.620,4.200,4.750,1.000,1.00,0.890,0.530,2.50,1.400",,"1.600,3.900,4.550,1.040,1.00,0.860,0.930,3.00,0.950","1.590,3.650,5.000,0.980,1.00,0.920,0.910,3.00,0.970","1.540,4.000,4.950,0.960,1.00,0.910,0.860,3.00,0.990","1.580,3.650,5.200,1.020,1.00,0.880,0.910,3.00,0.970",,,
20170207,,英北超,斯托桥,阿斯顿联,4-1,"1.700,3.800,3.750,0.800,0.5,1.000,0.750,2.75,1.050","1.850,3.700,3.450,0.850,0.50,0.970,0.800,2.75,1.000","1.800,3.650,3.500,0.850,0.50,0.910,0.830,2.75,0.950",,"1.890,3.500,3.300,0.900,0.50,0.940,0.840,2.75,0.980",,,,"1.880,3.600,3.200,0.910,0.50,0.860,0.810,2.75,0.970","1.930,3.800,3.500,0.870,0.50,0.950,0.570,2.50,1.300",,"1.890,3.500,3.300,0.900,0.50,0.940,0.840,2.75,0.980","1.880,3.550,3.250,0.890,0.50,0.950,0.850,2.75,0.970","1.850,3.700,3.450,0.860,0.50,0.970,0.810,2.75,1.000","1.860,3.550,3.330,0.870,0.50,0.970,0.850,2.75,0.970",,,
20170207,,沙南美预,哥伦比亚沙滩足球队,委内瑞拉沙滩足球队,3-2,".000,.000,.000,0.710,-0.5,0.990,0.840,8.5,0.860",".000,.000,.000,0.700,-0.50,1.000,0.840,8.50,0.860",,,".000,.000,.000,0.780,-0.50,0.980,0.930,8.50,0.830",,,,,,,".000,.000,.000,0.780,-0.50,0.980,0.930,8.50,0.830",,".000,.000,.000,0.710,-0.50,1.000,0.850,8.50,0.860",".000,.000,.000,0.780,-0.50,0.980,0.930,8.50,0.830",,,
20170207,,智利乙,马加拉内斯,塞雷那,3-2,"2.150,3.100,3.300,0.820,0.25,0.980,1.100,2.25,0.700","2.040,3.200,3.150,0.800,0.25,0.960,0.910,2.25,0.850","2.000,3.200,3.350,0.830,0.25,1.000,0.940,2.25,0.840",,"2.140,3.200,2.930,0.820,0.25,0.980,0.930,2.25,0.870",,,,"2.040,3.200,3.400,0.820,0.25,1.090,0.980,2.25,0.850","2.050,3.120,3.400,0.820,0.25,0.980,1.200,2.50,0.670",,"2.140,3.200,2.930,0.820,0.25,0.980,0.930,2.25,0.870",,"2.040,3.200,3.150,0.810,0.25,0.960,0.920,2.25,0.850","2.170,3.100,2.950,0.840,0.25,0.960,1.080,2.25,0.730",,,
20170205,周六076,智利甲,奥达科斯意大利人,科布雷萨尔,2-0,"1.720,3.750,4.500,0.720,0.5,1.150,0.780,2.5,1.020","2.140,3.400,2.950,0.900,0.25,0.980,0.930,2.50,0.930","2.100,3.200,3.300,0.850,0.25,1.020,0.860,2.50,0.960",,"2.150,3.300,3.200,0.890,0.25,1.030,0.920,2.50,0.980","2.050,3.200,3.150,0.820,0.25,0.980,0.800,2.50,0.900",,,"2.150,3.200,3.100,0.890,0.25,1.030,0.870,2.50,1.000","2.050,3.500,3.400,0.860,0.25,1.030,0.750,2.50,1.000",,"2.150,3.300,3.200,0.890,0.25,1.030,0.920,2.50,0.980","2.150,3.250,3.250,0.870,0.25,1.050,0.900,2.50,1.000","2.140,3.400,2.950,0.910,0.25,0.980,0.940,2.50,0.930","2.150,3.250,3.250,0.870,0.25,1.050,0.900,2.50,1.000",,,
20170207,周一019,葡超,布拉加,埃斯托里尔,1-1,"1.440,4.000,8.000,0.850,1.0,1.050,0.850,2.25,1.000","1.430,4.150,6.300,1.080,1.25,0.800,1.010,2.50,0.850","1.480,3.850,6.500,1.100,1.25,0.740,0.990,2.50,0.800",,"1.470,4.000,6.700,1.060,1.25,0.860,1.040,2.50,0.860","1.400,4.000,6.500,1.040,1.25,0.760,0.950,2.50,0.750",,,"1.470,3.800,6.400,0.860,1.00,1.060,1.010,2.50,0.830","1.450,4.000,9.000,0.830,1.00,1.090,1.050,2.50,0.770",,"1.470,4.000,6.700,1.060,1.25,0.860,1.040,2.50,0.860","1.460,3.850,7.600,1.160,1.25,0.780,1.070,2.50,0.830","1.430,4.150,6.300,1.090,1.25,0.800,1.020,2.50,0.850","1.450,3.840,7.590,1.150,1.25,0.770,1.070,2.50,0.820",,,
